Symbol,Sector,Industry,,,
EGL.l,Miscellaneous,Investment trusts/Mutual funds,,,
EKF.l,Health technology,Medical specialties,,,
ELCO.l,Technology services,Packaged software,,,
ELIX.l,Commercial services,Miscellaneous commercial services,,,
ELM.l,Process industries,Chemicals: specialty,,,
EMG.l,Finance,Investment managers,,,
EMH.l,Non-energy minerals,Steel,,,
ENET.l,Electronic technology,Semiconductors,,,
ENOG.l,Energy minerals,Oil & gas production,,,
ENQ.l,Energy minerals,Oil & gas production,,,
ENSI.l,Electronic technology,Semiconductors,,,
EPWN.l,Non-energy minerals,Construction materials,,,
ESCT.l,Miscellaneous,Investment trusts/Mutual funds,,,
ESO.l,Finance,Investment managers,,,
ESYS.l,Technology services,Information technology services,,,
EXPN.l,Commercial services,Miscellaneous commercial services,,,
FARN.l,Health technology,Pharmaceuticals: major,,,
FCIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
FCSS.l,Miscellaneous,Investment trusts/Mutual funds,,,
FDBK.l,Technology services,Packaged software,,,
FEML.l,Miscellaneous,Investment trusts/Mutual funds,,,
FEN.l,Finance,Investment managers,,,
FEV.l,Miscellaneous,Investment trusts/Mutual funds,,,
FEVR.l,Consumer non-durables,Beverages: non-alcoholic,,,
FGP.l,Transportation,Other transportation,,,
FGT.l,Miscellaneous,Investment trusts/Mutual funds,,,
FIN.l,Retail trade,Specialty stores,,,
FIPP.l,Commercial services,Miscellaneous commercial services,,,
FJV.l,Miscellaneous,Investment trusts/Mutual funds,,,
FME.l,Non-energy minerals,Precious metals,,,
FNTL.l,Commercial services,Miscellaneous commercial services,,,
FOG.l,Energy minerals,Oil & gas production,,,
FORT.l,Non-energy minerals,Construction materials,,,
FOXT.l,Finance,Real estate development,,,
FRAN.l,Commercial services,Miscellaneous commercial services,,,
FRAS.l,Retail trade,Specialty stores,,,
FRG.l,Non-energy minerals,Precious metals,,,
FRP.l,Commercial services,Miscellaneous commercial services,,,
FSFL.l,Miscellaneous,Investment trusts/Mutual funds,,,
FSG.l,Finance,Investment managers,,,
FSJ.l,Transportation,Marine shipping,,,
FUTR.l,Consumer services,Publishing: books/magazines,,,
FXPO.l,Non-energy minerals,Steel,,,
G4M.l,Retail trade,Electronics/Appliance stores,,,
GABI.l,Miscellaneous,Investment trusts/Mutual funds,,,
GAMA.l,Communications,Major telecommunications,,,
GATC.l,Commercial services,Personnel services,,,
GAW.l,Consumer durables,Recreational products,,,
GBG.l,Technology services,Packaged software,,,
GBP.l,Energy minerals,Integrated oil,,,
GCM.l,Energy minerals,Coal,,,
GCP.l,Finance,Investment managers,,,
GDP.l,Non-energy minerals,Precious metals,,,
GDR.l,Health technology,Medical specialties,,,
GDWN.l,Producer manufacturing,Industrial machinery,,,
GELN.l,Producer manufacturing,Electrical products,,,
GETB.l,Technology services,Packaged software,,,
GFIN.l,Technology services,Internet software/Services,,,
GFM.l,Non-energy minerals,Precious metals,,,
GFRD.l,Industrial services,Engineering & construction,,,
GFTU.l,Retail trade,Home improvement chains,,,
GGP.l,Non-energy minerals,Precious metals,,,
GLEN.l,Distribution services,Wholesale distributors,,,
GMR.l,Technology services,Packaged software,,,
